train:4692.02490234375	 val:4834.478515625
train:4689.58447265625	 val:4832.001953125
train:4805.818359375	 val:4830.546875
train:4838.9140625	 val:4828.0703125
train:4837.458984375	 val:4826.61669921875
train:4826.71435546875	 val:4824.14111328125
train:4797.97900390625	 val:4822.6875
train:4822.78564453125	 val:4820.21337890625
train:4829.59375	 val:4818.76025390625
train:4818.8583984375	 val:4816.28662109375
train:4823.89306640625	 val:4814.83447265625
train:4670.23681640625	 val:4812.3623046875
train:4668.80712890625	 val:4810.91064453125
train:4808.16943359375	 val:4808.43896484375
train:4816.0390625	 val:4806.98828125
train:4813.56591796875	 val:4804.517578125
train:4803.06689453125	 val:4803.06689453125
train:4814.93017578125	 val:4800.59814453125
train:4813.478515625	 val:4799.14794921875
train:4772.0380859375	 val:4796.6796875
train:4806.94189453125	 val:4795.23046875
train:4768.130859375	 val:4792.76318359375
train:4793.87890625	 val:4791.31396484375
train:4791.412109375	 val:4788.84814453125
train:4645.64599609375	 val:4787.39990234375
train:4742.89990234375	 val:4784.9345703125
train:4792.51611328125	 val:4783.4873046875
train:4792.7177734375	 val:4781.02294921875
train:4788.60107421875	 val:4779.57568359375
train:4777.11279296875	 val:4777.11279296875
train:4778.22705078125	 val:4775.666015625
train:4784.888671875	 val:4773.20361328125
train:4774.3173828125	 val:4771.75830078125
train:4744.72607421875	 val:4769.296875
train:4626.390625	 val:4767.8515625
train:4777.0673828125	 val:4765.3916015625
train:4775.62060546875	 val:4763.94677734375
train:4770.49609375	 val:4761.48828125
train:4762.6005859375	 val:4760.0439453125
train:4766.59033203125	 val:4757.58544921875
train:4766.9052734375	 val:4756.142578125
train:4612.43603515625	 val:4753.68505859375
train:4763.00048828125	 val:4752.2421875
train:4749.51806640625	 val:4749.7861328125
train:4750.8974609375	 val:4748.34375
train:4748.44140625	 val:4745.88916015625
train:4719.9404296875	 val:4744.447265625
train:4756.23779296875	 val:4741.99267578125
train:4754.79443359375	 val:4740.55224609375
train:4747.08447265625	 val:4738.09912109375
train:4748.29833984375	 val:4736.65869140625
train:4744.9443359375	 val:4734.20654296875
train:4732.7666015625	 val:4732.7666015625
train:4741.04931640625	 val:4730.31591796875
train:4739.6083984375	 val:4728.87646484375
train:4737.15478515625	 val:4726.4267578125
train:4735.71533203125	 val:4724.98779296875
train:4581.755859375	 val:4722.5380859375
train:4721.1005859375	 val:4721.1005859375
train:4676.91064453125	 val:4718.65234375
train:4719.759765625	 val:4717.21435546875
train:4714.76806640625	 val:4714.76806640625
train:4722.29345703125	 val:4713.33056640625
train:4713.427734375	 val:4710.88525390625
train:4709.18115234375	 val:4709.44873046875
train:4682.59326171875	 val:4707.00341796875
train:4708.109375	 val:4705.56787109375
train:4661.451171875	 val:4703.12353515625
train:4660.02197265625	 val:4701.68896484375
train:4674.85595703125	 val:4699.24560546875
train:4656.16162109375	 val:4697.81103515625
train:4706.958984375	 val:4695.369140625
train:4652.30322265625	 val:4693.93505859375
train:4702.18408203125	 val:4691.49462890625
train:4648.4462890625	 val:4690.06103515625
train:4699.20068359375	 val:4687.62109375
train:4697.7666015625	 val:4686.1884765625
train:4543.55029296875	 val:4683.7490234375
train:4696.47216796875	 val:4682.3173828125
train:4691.44921875	 val:4679.87890625
train:4689.12255859375	 val:4678.44775390625
train:4535.9287109375	 val:4676.0107421875
train:4677.11279296875	 val:4674.580078125
train:4674.6767578125	 val:4672.14404296875
train:4679.63525390625	 val:4670.7138671875
train:4682.41259765625	 val:4668.27880859375
train:4675.76708984375	 val:4666.8486328125
train:4675.07373046875	 val:4664.4150390625
train:4677.111328125	 val:4662.9853515625
train:4619.06982421875	 val:4660.55322265625
train:4661.65380859375	 val:4659.1240234375
train:4615.2265625	 val:4656.69287109375
train:4657.79296875	 val:4655.26416015625
train:4666.9443359375	 val:4652.833984375
train:4662.94140625	 val:4651.40673828125
train:4624.7177734375	 val:4648.9765625
train:4659.080078125	 val:4647.55029296875
train:4655.7578125	 val:4645.12109375
train:4657.791015625	 val:4643.6953125
train:4599.8701171875	 val:4641.26708984375
train:4639.57666015625	 val:4639.841796875
train:4497.91650390625	 val:4637.41455078125
train:4635.990234375	 val:4635.990234375
train:4636.08642578125	 val:4633.564453125
train:4632.14013671875	 val:4632.14013671875
train:4640.33447265625	 val:4629.71533203125
train:4637.1728515625	 val:4628.29150390625
train:4625.86767578125	 val:4625.86767578125
train:4633.322265625	 val:4624.4443359375
train:4633.5205078125	 val:4622.02197265625
train:4620.599609375	 val:4620.599609375
train:4617.91357421875	 val:4618.17724609375
train:4627.35986328125	 val:4616.755859375
train:4614.33447265625	 val:4614.33447265625
train:4612.91357421875	 val:4612.91357421875
train:4621.09033203125	 val:4610.494140625
train:4470.00537109375	 val:4609.0732421875
train:4615.5146484375	 val:4606.65478515625
train:4607.7490234375	 val:4605.23388671875
train:4602.55224609375	 val:4602.81640625
train:4601.13330078125	 val:4601.3974609375
train:4601.4931640625	 val:4598.98046875
train:4597.29736328125	 val:4597.5615234375
train:4571.02783203125	 val:4595.1455078125
train:4602.5751953125	 val:4593.7275390625
train:4591.31298828125	 val:4591.31298828125
train:4589.89453125	 val:4589.89453125
train:4589.99072265625	 val:4587.4814453125
train:4585.80078125	 val:4586.06396484375
train:4586.16015625	 val:4583.6513671875
train:4592.79931640625	 val:4582.23486328125
train:4579.82275390625	 val:4579.82275390625
train:4592.40478515625	 val:4578.4072265625
train:4437.43212890625	 val:4575.9970703125
train:4585.13671875	 val:4574.5810546875
train:4580.99853515625	 val:4572.171875
train:4581.30810546875	 val:4570.75732421875
train:4577.171875	 val:4568.3486328125
train:4566.93408203125	 val:4566.93408203125
train:4540.48974609375	 val:4564.52685546875
train:4571.931640625	 val:4563.11328125
train:4574.6767578125	 val:4560.70654296875
train:4518.2646484375	 val:4559.29345703125
train:4559.38916015625	 val:4556.88818359375
train:4564.287109375	 val:4555.4755859375
train:4553.0712890625	 val:4553.0712890625
train:4551.65966796875	 val:4551.65966796875
train:4411.10009765625	 val:4549.25634765625
train:4561.794921875	 val:4547.8447265625
train:4407.34521484375	 val:4545.4423828125
train:4554.55224609375	 val:4544.03173828125
train:4541.63037109375	 val:4541.63037109375
train:4402.20263671875	 val:4540.22021484375
train:4537.81982421875	 val:4537.81982421875
train:4550.34375	 val:4536.41064453125
train:4545.39990234375	 val:4534.01123046875
train:4508.6494140625	 val:4532.60205078125
train:4541.587890625	 val:4530.20361328125
train:4487.904296875	 val:4528.7958984375
train:4485.51708984375	 val:4526.3984375
train:4527.48291015625	 val:4524.9912109375
train:4525.0859375	 val:4522.59423828125
train:4497.2646484375	 val:4521.18701171875
train:4494.8759765625	 val:4518.7919921875
train:4528.75341796875	 val:4517.3857421875
train:4491.08447265625	 val:4514.99169921875
train:4516.07470703125	 val:4513.5849609375
train:4525.0859375	 val:4511.19189453125
train:4520.26708984375	 val:4509.78662109375
train:4369.88037109375	 val:4507.39453125
train:4482.10693359375	 val:4505.9892578125
train:4366.14306640625	 val:4503.59814453125
train:4501.93359375	 val:4502.1943359375
train:4511.14990234375	 val:4499.80419921875
train:4498.1396484375	 val:4498.40087890625
train:4495.75048828125	 val:4496.01171875
train:4357.29150390625	 val:4494.60791015625
train:4506.0849609375	 val:4492.2197265625
train:4501.2763671875	 val:4490.81787109375
train:4490.9130859375	 val:4488.4306640625
train:4497.4833984375	 val:4487.029296875
train:4484.64306640625	 val:4484.64306640625
train:4491.98291015625	 val:4483.2412109375
